method,task_completion_ratio,total_priority_reward,constraint_violation_count,battery_utilisation,storage_utilisation,episode_reward
FCFS,0.2,523.25,0.0,0.9061176470588229,0.2868888888888889,501.04529999999994
HighestPriority,0.2,523.25,0.0,0.9061176470588229,0.2868888888888889,501.04529999999994
GreedyScore,0.2,523.25,0.0,0.9061176470588229,0.2868888888888889,501.04529999999994
EarliestDeadline,0.2,523.25,0.0,0.9061176470588231,0.2868888888888889,500.9853
DQN,0.13333333333333333,310.26000000000005,0.0,0.8827058823529408,0.7591111111111111,225.183
